                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.47566,                0.82011,                 1.6293,                0.93992,                0.96436,                0.97183,                0.99138,                0.95997,                0.97853,                0.98592,                 0.9943,                0.95861,                0.27133,                 0.2819,                 1.6021,                0.86109,              0.0033103,              0.0033103,              0.0033103
                      2,                0.45139,                0.51839,                0.85895,                0.91154,                      1,                0.86706,                0.96681,                0.89025,                      1,                0.86706,                0.96681,                0.88126,                0.33758,                0.48347,                  1.013,                0.89712,              0.0066424,              0.0066424,              0.0066424
                      3,                0.52759,                0.55551,                0.75153,                0.93867,                0.78881,                0.84173,                0.88909,                0.78582,                0.91078,                0.71886,                0.77266,                0.65138,                0.45755,                 4.3795,                  1.082,                0.97095,              0.0099731,              0.0099731,              0.0099731
                      4,                0.58051,                0.67104,                0.68127,                0.96902,                      1,                0.94964,                0.96729,                0.88122,                      1,                0.94964,                0.96729,                 0.8786,                 0.4355,                0.58837,                0.61712,                0.94087,              0.0099941,              0.0099941,              0.0099941
                      5,                0.55073,                0.55465,                0.57282,                0.95312,                0.96931,                0.88962,                0.96075,                0.90005,                0.96931,                0.88962,                0.95808,                 0.8643,                0.35035,                0.82374,                0.53186,                0.89406,              0.0099941,              0.0099941,              0.0099941
                      6,                0.53901,                0.54799,                0.52946,                0.95491,                      1,                 0.9836,                0.99247,                0.94401,                      1,                 0.9836,                0.99247,                0.96203,                0.32499,                0.26299,                0.34767,                0.88904,              0.0099921,              0.0099921,              0.0099921
                      7,                0.51197,                0.51732,                0.48597,                0.94524,                      1,                0.98557,                0.99486,                0.96318,                      1,                0.98557,                0.99486,                0.96951,                0.29167,                0.29328,                0.32836,                0.86469,              0.0099901,              0.0099901,              0.0099901
                      8,                0.51543,                0.51729,                0.45864,                0.94805,                0.92734,                0.94366,                0.93917,                0.87809,                0.92734,                0.94366,                0.93917,                0.86725,                0.37539,                0.54473,                0.51623,                0.91454,              0.0099881,              0.0099881,              0.0099881
                      9,                0.49486,                 0.5378,                0.44528,                0.93421,                 0.9909,                0.98592,                0.99486,                0.97087,                 0.9909,                0.98592,                0.99486,                0.96721,                0.29639,                0.28308,                0.30763,                0.85983,              0.0099861,              0.0099861,              0.0099861
                     10,                0.48321,                0.49789,                0.41531,                 0.9317,                0.98515,                0.98592,                0.98845,                0.96148,                0.98235,                0.97183,                0.98005,                0.96651,                0.26674,                0.28277,                0.28941,                0.85919,              0.0099842,              0.0099842,              0.0099842
                     11,                0.46927,                0.45101,                0.39926,                0.92124,                 0.9843,                      1,                0.99486,                0.97707,                 0.9843,                      1,                0.99486,                 0.9837,                0.25276,                0.21131,                0.25556,                0.84005,              0.0099822,              0.0099822,              0.0099822
                     12,                0.45154,                 0.4586,                0.38749,                0.91814,                      1,                0.99852,                  0.995,                 0.9604,                      1,                0.99852,                  0.995,                0.98097,                0.30432,                0.22612,                0.26651,                0.88935,              0.0099802,              0.0099802,              0.0099802
                     13,                0.46451,                0.48259,                 0.3932,                0.92556,                0.99871,                0.98592,                0.99486,                0.96856,                0.99871,                0.98592,                0.99486,                0.98582,                0.25224,                0.24805,                0.24118,                0.83777,              0.0099782,              0.0099782,              0.0099782
